contig_id	target_id	Ecosystem classification
FCH3CGLCCXYL2DAA_NODE_3595	3300012953_____Ga0163179_10001240 (taxid 1000623249)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL2DAA_NODE_3629	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_3637	unclassified (taxid 0)	
FCH3CGLCCXYL2DAA_NODE_3648	unclassified (taxid 0)	
FCH3CGLCCXYL2DAA_NODE_3660	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_3709	3300012147_____Ga0136588_1001693 (taxid 1000944871)	Environmental;Aquatic;Non-marine Saline and Alkaline;Saline;Non-marine_Saline_and_Alkaline;
FCH3CGLCCXYL2DAA_NODE_3809	3300002702_____draft_10479959 (taxid 1001110531)	Engineered;Wastewater;Industrial wastewater;Petrochemical;Engineered;
FCH3CGLCCXYL2DAA_NODE_3817	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_3842	unclassified (taxid 0)	
FCH3CGLCCXYL2DAA_NODE_3906	3300004095_____Ga0007829_10000887 (taxid 1000113457)	Environmental;Aquatic;Freshwater;Lentic;Freshwater;
FCH3CGLCCXYL2DAA_NODE_3933	3300012252_____Ga0122200_100146 (taxid 1000130418)	Engineered;Built environment;City;Subway;Engineered;
FCH3CGLCCXYL2DAA_NODE_3966	2162886013_____SwBSRL2_contig_3244910 (taxid 1000006947)	Environmental;Terrestrial;Soil;Unclassified;Terrestrial(soil);
FCH3CGLCCXYL2DAA_NODE_3982	level2_8407 (taxid 1001165454)	
FCH3CGLCCXYL2DAA_NODE_4009	3300009788_____Ga0114923_10000157 (taxid 1000291890)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL2DAA_NODE_4084	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2DAA_NODE_4110	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_35	3300009187_____Ga0114972_10001800 (taxid 1001087810)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL2EAA_NODE_72	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_140	3300014613_____Ga0180008_1007103 (taxid 1000896163)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_181	3300010300_____Ga0129351_1004986 (taxid 1000766043)	Environmental;Aquatic;Marine;Coastal;Marine;
FCH3CGLCCXYL2EAA_NODE_187	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_188	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_206	3300014613_____Ga0180008_1000431 (taxid 1000786316)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_214	3300014613_____Ga0180008_1000431 (taxid 1000786316)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_222	3300014613_____Ga0180008_1000221 (taxid 1000784810)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_236	3300014656_____Ga0180007_10000958 (taxid 1000870097)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_246	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_256	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_267	level1_102823 (taxid 1000102154)	
FCH3CGLCCXYL2EAA_NODE_331	3300005527_____Ga0068876_10001044 (taxid 1000816236)	Environmental;Aquatic;Freshwater;Lentic;Freshwater;
FCH3CGLCCXYL2EAA_NODE_387	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_483	3300015261_____Ga0182006_1000358 (taxid 1000456956)	Host-associated;Plants;Rhizosphere;Unclassified;Host-associated(plants);
FCH3CGLCCXYL2EAA_NODE_498	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_519	3300014613_____Ga0180008_1000221 (taxid 1000784810)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_556	3300008255_____Ga0100403_1000661 (taxid 1000805763)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_612	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_701	level2_6847 (taxid 1001140112)	
FCH3CGLCCXYL2EAA_NODE_780	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_821	level1_35103 (taxid 1001012741)	
FCH3CGLCCXYL2EAA_NODE_903	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_913	3300014203_____Ga0172378_10014889 (taxid 1000760337)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_918	3300006043_____Ga0075034_1001692 (taxid 1001047839)	Engineered;Lab enrichment;Defined media;Unclassified;Engineered;
FCH3CGLCCXYL2EAA_NODE_925	unclassified (taxid 0)	
FCH3CGLCCXYL2EAA_NODE_948	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_1013	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_1258	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_1283	3300009481_____Ga0114932_10003535 (taxid 1000512809)	Environmental;Aquatic;Marine;Volcanic;Marine;
FCH3CGLCCXYL2EAA_NODE_1284	3300000525_____JGI1221J11331_1001840 (taxid 1001053546)	Environmental;Aquatic;Non-marine Saline and Alkaline;Hypersaline;Non-marine_Saline_and_Alkaline;
FCH3CGLCCXYL2EAA_NODE_1302	level2_71721 (taxid 1000893586)	
FCH3CGLCCXYL2EAA_NODE_1328	3300006733_____Ga0098068_1000105 (taxid 1000798609)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL2EAA_NODE_1330	3300013244_____Ga0118627_100481 (taxid 1000596274)	Host-associated;Human;Skin;Unclassified;Host-associated(human);
FCH3CGLCCXYL2EAA_NODE_1340	3300006177_____Ga0075362_10001270 (taxid 1000186338)	Host-associated;Plants;Roots;Bulk soil;Host-associated(plants);
FCH3CGLCCXYL2EAA_NODE_1412	3300001979_____JGI24740J21852_10000039 (taxid 1000508427)	Host-associated;Plants;Rhizoplane;Epiphytes;Host-associated(plants);
FCH3CGLCCXYL2EAA_NODE_1426	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_1459	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_1461	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_1466	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_1490	3300014613_____Ga0180008_1000431 (taxid 1000786316)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_1530	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_1591	3300005511_____Ga0077121_10003401 (taxid 1000829555)	Host-associated;Plants;Roots;Endophytes;Host-associated(plants);
FCH3CGLCCXYL2EAA_NODE_1595	3300005539_____Ga0068853_100005390 (taxid 1000618377)	Host-associated;Plants;Roots;Rhizosphere;Host-associated(plants);
FCH3CGLCCXYL2EAA_NODE_1647	level1_26868 (taxid 1000479157)	
FCH3CGLCCXYL2EAA_NODE_1697	level1_21384 (taxid 1000386755)	
FCH3CGLCCXYL2EAA_NODE_1702	3300008255_____Ga0100403_1000553 (taxid 1000805221)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_1765	3300005056_____Ga0071102_1002452 (taxid 1000656998)	Environmental;Aquatic;Marine;Unclassified;Marine;
FCH3CGLCCXYL2EAA_NODE_1808	3300012953_____Ga0163179_10000422 (taxid 1000598295)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL2EAA_NODE_1883	3300017813_____Ga0188953_10001 (taxid 1000848897)	Environmental;Aquatic;Non-marine Saline and Alkaline;Unclassified;Non-marine_Saline_and_Alkaline;
FCH3CGLCCXYL2EAA_NODE_1886	3300014613_____Ga0180008_1000431 (taxid 1000786316)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_1889	3300007609_____Ga0102945_1000016 (taxid 1000221902)	Environmental;Aquatic;Non-marine Saline and Alkaline;Saline;Non-marine_Saline_and_Alkaline;
FCH3CGLCCXYL2EAA_NODE_1948	3300005614_____Ga0068856_100005327 (taxid 1000443623)	Host-associated;Plants;Roots;Rhizosphere;Host-associated(plants);
FCH3CGLCCXYL2EAA_NODE_1968	level3_10479 (taxid 1000315415)	
FCH3CGLCCXYL2EAA_NODE_1974	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_2027	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_2131	3300015261_____Ga0182006_1000358 (taxid 1000456956)	Host-associated;Plants;Rhizosphere;Unclassified;Host-associated(plants);
FCH3CGLCCXYL2EAA_NODE_2228	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_2233	3300005458_____Ga0070681_10000190 (taxid 1000204777)	Environmental;Terrestrial;Soil;Loam;Terrestrial(soil);
FCH3CGLCCXYL2EAA_NODE_2247	3300015370_____Ga0180009_10000498 (taxid 1000232207)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_2253	unclassified (taxid 0)	
FCH3CGLCCXYL2EAA_NODE_2383	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_2403	3300009148_____Ga0105243_10001094 (taxid 1000039075)	Host-associated;Plants;Rhizosphere;Unclassified;Host-associated(plants);
FCH3CGLCCXYL2EAA_NODE_2421	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_2431	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_2432	3300008255_____Ga0100403_1000553 (taxid 1000805221)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_2517	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_2610	3300009684_____Ga0114958_10003515 (taxid 1000239150)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL2EAA_NODE_2661	3300008255_____Ga0100403_1000424 (taxid 1000809382)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_2696	3300009148_____Ga0105243_10003867 (taxid 1000077933)	Host-associated;Plants;Rhizosphere;Unclassified;Host-associated(plants);
FCH3CGLCCXYL2EAA_NODE_2722	3300015370_____Ga0180009_10004813 (taxid 1000306660)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL2EAA_NODE_2723	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_2736	3300007611_____Ga0102927_1000044 (taxid 1000630442)	Environmental;Aquatic;Non-marine Saline and Alkaline;Saline;Non-marine_Saline_and_Alkaline;
FCH3CGLCCXYL2EAA_NODE_2807	level2_40143 (taxid 1000485074)	
FCH3CGLCCXYL2EAA_NODE_2839	2061766007_____rumenHiSeq_NODE_372198_len_43987_cov_2_421761 (taxid 1001185717)	Host-associated;Mammals;Digestive system;Foregut;Host-associated(other);
FCH3CGLCCXYL2EAA_NODE_2840	3300019093_____Ga0187843_10000597 (taxid 1000026890)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL2EAA_NODE_2936	unclassified (taxid 0)	
FCH3CGLCCXYL2EAA_NODE_2940	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_2969	3300002484_____JGI25129J35166_1000560 (taxid 1000089268)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL2EAA_NODE_2984	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_3052	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_3108	3300002448_____JGIcombinedJ30088_10000251 (taxid 1000124572)	Host-associated;Porifera;Unclassified;Unclassified;Host-associated(other);
FCH3CGLCCXYL2EAA_NODE_3128	3300002835_____B570J40625_100002555 (taxid 1001195659)	Environmental;Aquatic;Freshwater;Lentic;Freshwater;
FCH3CGLCCXYL2EAA_NODE_3229	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_3272	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_3299	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_3362	3300009183_____Ga0114974_10000211 (taxid 1000298340)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL2EAA_NODE_3371	unclassified (taxid 0)	
FCH3CGLCCXYL2EAA_NODE_3433	level2_64363 (taxid 1000405572)	
FCH3CGLCCXYL2EAA_NODE_3451	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL2EAA_NODE_3452	3300005539_____Ga0068853_100013810 (taxid 1001105721)	Host-associated;Plants;Roots;Rhizosphere;Host-associated(plants);
FCH3CGLCCXYL4FAA_NODE_1	3300013126_____Ga0172367_10000420 (taxid 1000649451)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL4FAA_NODE_2	3300012990_____Ga0159060_1000465 (taxid 1000812982)	Engineered;Wastewater;Industrial wastewater;Petrochemical;Engineered;
FCH3CGLCCXYL4FAA_NODE_3	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL4FAA_NODE_4	3300009149_____Ga0114918_10005115 (taxid 1001083497)	Environmental;Aquatic;Marine;Oceanic;Marine;
FCH3CGLCCXYL4FAA_NODE_5	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL4FAA_NODE_6	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL4FAA_NODE_7	3300009009_____Ga0105105_10000031 (taxid 1000844541)	Environmental;Aquatic;Freshwater;Sediment;Aquatic(sediment);
FCH3CGLCCXYL4FAA_NODE_8	3300013004_____Ga0164293_10018321 (taxid 1000169292)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL4FAA_NODE_10	3300000929_____NpDRAFT_10040175 (taxid 1000591099)	Environmental;Aquatic;Marine;Neritic zone;Marine;
FCH3CGLCCXYL4FAA_NODE_11	3300013132_____Ga0172372_10006960 (taxid 1000691287)	Environmental;Aquatic;Freshwater;Lake;Freshwater;
FCH3CGLCCXYL4FAA_NODE_12	level1_71808 (taxid 1000672290)	
FCH3CGLCCXYL4FAA_NODE_13	3300002307_____JGI24890J29729_1000265 (taxid 1000404330)	Environmental;Aquatic;Freshwater;Lentic;Freshwater;
FCH3CGLCCXYL4FAA_NODE_14	3300008255_____Ga0100403_1000048 (taxid 1000802844)	Environmental;Aquatic;Freshwater;Groundwater;Freshwater;
FCH3CGLCCXYL4FAA_NODE_15	3300013800_____Ga0119898_1000066 (taxid 1000363980)	Engineered;Wastewater;Industrial wastewater;Unclassified;Engineered;
FCH3CGLCCXYL4FAA_NODE_16	3300009026_____Ga0102829_1000424 (taxid 1001152231)	Environmental;Aquatic;Marine;Intertidal zone;Marine;
FCH3CGLCCXYL4FAA_NODE_17	3300007960_____Ga0099850_1000062 (taxid 1000306770)	Environmental;Aquatic;Marine;Coastal;Marine;
FCH3CGLCCXYL4FAA_NODE_18	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL4FAA_NODE_19	3300010370_____Ga0129336_10000098 (taxid 1000011091)	Environmental;Aquatic;Marine;Coastal;Marine;
FCH3CGLCCXYL4FAA_NODE_20	3300002835_____B570J40625_100007904 (taxid 1000052003)	Environmental;Aquatic;Freshwater;Lentic;Freshwater;
FCH3CGLCCXYL4FAA_NODE_21	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL4FAA_NODE_22	level0_1 (taxid 1000675921)	
FCH3CGLCCXYL4FAA_NODE_23	3300006922_____Ga0098045_1001115 (taxid 1000078184)	Environmental;Aquatic;Marine;Oceanic;Marine;
