gene,tree_file,protein_id,tree_label,support_on_subtending_branch,support_parent_clade,n_tips_parent_clade,support_grandparent_clade,n_tips_grandparent_clade,support_greatgrandparent,parent_is_root,sister_n_tips,sister_tips,sister_tips_list_truncated,sister_top_organisms,sister_top_descriptions,other_study_orfs_in_parent_clade,nearest_ref_clade_support,nearest_ref_clade_ntips,nearest_ref_clade_nrefs,nearest_ref_clade_refs,steps_to_ref_clade,path_supports,terminal_branch_length,terminal_branch_at_iqtree_max,sister_identical_between_aligners,sister_jaccard_between_aligners,nearest_ref_clade_jaccard_between_aligners,meaningful_support
RNR,mafft_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_354_7,FCH3CGLCCXYL4FAA_NODE_354-cat_2_7,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,100.0,5,99.0,False,1,FCH3CGLCCXYL4FAA_NODE_2930-cat_2_2,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_2930-cat_2_2,99.0,1007,1000,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),3,100;100;99,0.5194,False,True,1.0,0.007,False
RNR,mafft_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_682_2,FCH3CGLCCXYL4FAA_NODE_682-cat_2_2,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,91.0,3,100.0,False,1,FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,99.0,1007,1000,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),4,100;91;100;99,0.808,False,True,1.0,0.007,False
RNR,mafft_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_712_8,FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,91.0,3,100.0,False,1,FCH3CGLCCXYL4FAA_NODE_682-cat_2_2,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_682-cat_2_2,99.0,1007,1000,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),4,100;91;100;99,0.511,False,True,1.0,0.007,False
RNR,mafft_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_874_7,FCH3CGLCCXYL4FAA_NODE_874-cat_2_7,"100 (smallest clade containing the ORF, 1002 tips)",100.0,1002,99.0,1007,100.0,False,1001,"AAC23305.1;ADY95536.1;ADY97449.1;ADY99747.1;AET72769.1;AFK66331.1;AGF91424.1;AGG54423.1;AGH56691.1;AGH57374.1;AGV12127.1;AHB80807.1;AHW75946.1;AIX14353.1;AIX14568.1;AIX14993.1;AIX16720.1;AIX18498.1;AIX22940.1;AIX27550.1 [showing 20 of 1001, alphabetical]",True,Haemophilus influenzae (n=122); Neisseria meningitidis (n=111); Haemophilus haemolyticus (n=43); Gallibacterium anatis (n=28),class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),FCH3CGLCCXYL4FAA_NODE_919-cat_2_3,100.0,1002,1000,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=625); ribonucleoside-diphosphate reductase subunit alpha (n=115); ribonucleotide reductase large subunit (n=59),1,100,10.0,True,False,0.0,0.002,False
RNR,mafft_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_919_3,FCH3CGLCCXYL4FAA_NODE_919-cat_2_3,"100 (smallest clade containing the ORF, 11 tips)",100.0,11,100.0,13,100.0,False,10,MAH72766.1;MAJ03179.1;MAJ24716.1;MDA7798512.1;MDA9761392.1;MDB4342972.1;MDB4681414.1;MGA1048384.1;OUW57370.1;QOI69158.1,False,bacterium (n=4); Pelagibacter phage Mosig EXVC030M (n=1); Rickettsiales bacterium (n=1); Candidatus Pelagibacter sp. TMED197 (n=1),ribonucleoside-diphosphate reductase subunit alpha (n=8); putative ribonucleoside-diphosphate reductase 1 subunit alpha (n=1); MAG: ribonucleoside-diphosphate reductase subunit alpha (n=1),,100.0,11,10,ribonucleoside-diphosphate reductase subunit alpha (n=8); putative ribonucleoside-diphosphate reductase 1 subunit alpha (n=1); MAG: ribonucleoside-diphosphate reductase subunit alpha (n=1),1,100,0.2527,False,True,1.0,1.0,True
RNR,muscle_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_4_40,FCH3CGLCCXYL4FAA_NODE_4-cat_1_40,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,100.0,4,100.0,False,1,FCH3CGLCCXYL4FAA_NODE_1681-cat_2_3,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_1681-cat_2_3,49.0,11,1,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=1),5,100;100;100;100;49,0.1505,False,False,0.001,0.011,False
RNR,muscle_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_8_6,FCH3CGLCCXYL4FAA_NODE_8-cat_1_6,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,100.0,4,100.0,False,1,FCH3CGLCCXYL4FAA_NODE_34-cat_1_16,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_34-cat_1_16,49.0,11,1,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=1),5,100;100;100;100;49,3.6562,False,True,1.0,0.009,False
RNR,muscle_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_34_16,FCH3CGLCCXYL4FAA_NODE_34-cat_1_16,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,100.0,4,100.0,False,1,FCH3CGLCCXYL4FAA_NODE_8-cat_1_6,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_8-cat_1_6,49.0,11,1,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=1),5,100;100;100;100;49,3.2037,False,True,1.0,0.009,False
RNR,muscle_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_227_12,FCH3CGLCCXYL4FAA_NODE_227-cat_1_12,"100 (smallest clade containing the ORF, 3 tips)",100.0,3,100.0,5,100.0,False,2,FCH3CGLCCXYL4FAA_NODE_682-cat_2_2;FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,False,no-organism-field (n=2),no description (study ORF) (n=2),FCH3CGLCCXYL4FAA_NODE_682-cat_2_2;FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,49.0,11,1,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=1),5,100;100;100;100;49,0.8641,False,True,1.0,0.007,False
RNR,muscle_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_354_7,FCH3CGLCCXYL4FAA_NODE_354-cat_2_7,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,100.0,5,100.0,False,1,FCH3CGLCCXYL4FAA_NODE_2930-cat_2_2,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_2930-cat_2_2,49.0,11,1,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=1),5,100;100;100;100;49,0.5832,False,True,1.0,0.007,False
RNR,muscle_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_682_2,FCH3CGLCCXYL4FAA_NODE_682-cat_2_2,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,100.0,3,100.0,False,1,FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,49.0,11,1,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=1),6,100;100;100;100;100;49,0.8354,False,True,1.0,0.007,False
RNR,muscle_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_712_8,FCH3CGLCCXYL4FAA_NODE_712-cat_2_8,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,100.0,3,100.0,False,1,FCH3CGLCCXYL4FAA_NODE_682-cat_2_2,False,no-organism-field (n=1),no description (study ORF) (n=1),FCH3CGLCCXYL4FAA_NODE_682-cat_2_2,49.0,11,1,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=1),6,100;100;100;100;100;49,0.5209,False,True,1.0,0.007,False
RNR,muscle_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_874_7,FCH3CGLCCXYL4FAA_NODE_874-cat_2_7,"100 (smallest clade containing the ORF, 10 tips)",100.0,10,49.0,11,51.0,False,9,FCH3CGLCCXYL4FAA_NODE_1681-cat_2_3;FCH3CGLCCXYL4FAA_NODE_227-cat_1_12;FCH3CGLCCXYL4FAA_NODE_2930-cat_2_2;FCH3CGLCCXYL4FAA_NODE_34-cat_1_16;FCH3CGLCCXYL4FAA_NODE_354-cat_2_7;FCH3CGLCCXYL4FAA_NODE_4-cat_1_40;FCH3CGLCCXYL4FAA_NODE_682-cat_2_2;FCH3CGLCCXYL4FAA_NODE_712-cat_2_8;FCH3CGLCCXYL4FAA_NODE_8-cat_1_6,False,no-organism-field (n=9),no description (study ORF) (n=9),FCH3CGLCCXYL4FAA_NODE_1681-cat_2_3;FCH3CGLCCXYL4FAA_NODE_227-cat_1_12;FCH3CGLCCXYL4FAA_NODE_2930-cat_2_2;FCH3CGLCCXYL4FAA_NODE_34-cat_1_16;FCH3CGLCCXYL4FAA_NODE_354-cat_2_7;FCH3CGLCCXYL4FAA_NODE_4-cat_1_40;FCH3CGLCCXYL4FAA_NODE_682-cat_2_2;FCH3CGLCCXYL4FAA_NODE_712-cat_2_8;FCH3CGLCCXYL4FAA_NODE_8-cat_1_6,49.0,11,1,class 1a ribonucleoside-diphosphate reductase subunit alpha (n=1),2,100;49,10.0,True,False,0.0,0.002,False
RNR,muscle_iqtree_RNR_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_919_3,FCH3CGLCCXYL4FAA_NODE_919-cat_2_3,"100 (smallest clade containing the ORF, 11 tips)",100.0,11,100.0,13,100.0,False,10,MAH72766.1;MAJ03179.1;MAJ24716.1;MDA7798512.1;MDA9761392.1;MDB4342972.1;MDB4681414.1;MGA1048384.1;OUW57370.1;QOI69158.1,False,bacterium (n=4); Pelagibacter phage Mosig EXVC030M (n=1); Rickettsiales bacterium (n=1); Candidatus Pelagibacter sp. TMED197 (n=1),ribonucleoside-diphosphate reductase subunit alpha (n=8); putative ribonucleoside-diphosphate reductase 1 subunit alpha (n=1); MAG: ribonucleoside-diphosphate reductase subunit alpha (n=1),,100.0,11,10,ribonucleoside-diphosphate reductase subunit alpha (n=8); putative ribonucleoside-diphosphate reductase 1 subunit alpha (n=1); MAG: ribonucleoside-diphosphate reductase subunit alpha (n=1),1,100,0.2548,False,True,1.0,1.0,True
acpP,muscle_iqtree_acpP_iqtree.nwk,FCH3CGLCCXYL2DAA_NODE_147_6,FCH3CGLCCXYL2DAA_NODE_147_6,"53 (smallest clade containing the ORF, 464 tips)",53.0,464,83.0,469,91.0,False,463,"CAN1566746.1;CBA28610.1;ESS15200.1;GAB1385722.1;GAB4090990.1;GBU15715.1;HEX5805914.1;HEX5806013.1;HEY1102064.1;HMS05751.1;HOZ63158.1;HRL66248.1;HSW16008.1;HWI77836.1;HWS04619.1;HYF42132.1;MBA3771769.1;MBA4256133.1;MBA4257296.1;MBC7647542.1 [showing 20 of 463, alphabetical]",True,Pseudomonadota bacterium (n=41); Burkholderiaceae bacterium (n=40); Rhodoferax sp. (n=28); Variovorax (n=24),acyl carrier protein (n=299); MULTISPECIES: acyl carrier protein (n=120); hypothetical protein (n=21),,53.0,464,463,acyl carrier protein (n=299); MULTISPECIES: acyl carrier protein (n=120); hypothetical protein (n=21),1,53,4.8191,False,,,,False
acpP,muscle_iqtree_acpP_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_349_2,FCH3CGLCCXYL4FAA_NODE_349_2,"82 (smallest clade containing the ORF, 4 tips)",82.0,4,93.0,8,96.0,False,3,MBO4936853.1;MCI6859792.1;WP_257865019.1,False,Clostridia bacterium (n=2); Variovorax sp. ZS18.2.2 (n=1),acyl carrier protein (n=3),,82.0,4,3,acyl carrier protein (n=3),1,82,3.0255,False,,,,False
DNMT3A,mafft_iqtree_DNMT3A_iqtree.nwk,TARATASF_NODE_29_11,TARATASF_NODE_29_11,"66 (smallest clade containing the ORF, 3 tips)",66.0,3,66.0,4,74.0,False,2,UVX99118.1;WP_308223792.1,False,uncultured Prevotella sp. (n=1); Bacteriophage sp. (n=1),DNA (cytosine-5-)-methyltransferase (n=1); MAG: C-5 cytosine-specific DNA methylase (n=1),,66.0,3,2,DNA (cytosine-5-)-methyltransferase (n=1); MAG: C-5 cytosine-specific DNA methylase (n=1),1,66,0.0,False,False,0.0,0.25,False
DNMT3A,mafft_iqtree_DNMT3A_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_69_26,FCH3CGLCCXYL4FAA_NODE_69_26,"49 (smallest clade containing the ORF, 73 tips)",49.0,73,82.0,156,100.0,False,72,"CDE57048.1;DAI60548.1;DAJ73623.1;DAL82986.1;DAR16180.1;DAR45068.1;DAY69957.1;GFI13381.1;HZJ79105.1;MBD5228844.1;MBJ2161926.1;MBJ2191356.1;MBO4955112.1;MCM1075977.1;MEZ3525626.1;NBH92394.1;NCB42894.1;PNX49428.1;QCD40256.1;ROT06178.1 [showing 20 of 72, alphabetical]",True,uncultured Duncaniella sp. (n=11); uncultured Muribaculum sp. (n=7); Caudoviricetes sp. (n=6); Muribaculaceae bacterium (n=5),DNA (cytosine-5-)-methyltransferase (n=35); DNA cytosine methyltransferase (n=12); MAG TPA: Cytosine specific methyltransferase (n=6),,49.0,73,72,DNA (cytosine-5-)-methyltransferase (n=35); DNA cytosine methyltransferase (n=12); MAG TPA: Cytosine specific methyltransferase (n=6),1,49,0.2433,False,False,0.0,0.013,False
DNMT3A,mafft_iqtree_DNMT3A_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_52_18,FCH3CGLCCXYL4FAA_NODE_52_18,"96 (smallest clade containing the ORF, 2 tips)",96.0,2,96.0,3,88.0,False,1,NDG53716.1,False,Flavobacteriia bacterium (n=1),hypothetical protein (n=1),,96.0,2,1,hypothetical protein (n=1),1,96,0.3463,False,False,0.5,0.667,True
DNMT3A,muscle_iqtree_DNMT3A_iqtree.nwk,TARATASF_NODE_29_11,TARATASF_NODE_29_11,"100 (smallest clade containing the ORF, 2 tips)",100.0,2,88.0,3,50.0,False,1,UWF94387.1,False,Bacteriophage sp. (n=1),MAG: C-5 cytosine-specific DNA methylase (n=1),,100.0,2,1,MAG: C-5 cytosine-specific DNA methylase (n=1),1,100,0.0,False,False,0.0,0.25,True
DNMT3A,muscle_iqtree_DNMT3A_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_69_26,FCH3CGLCCXYL4FAA_NODE_69_26,"71 (smallest clade containing the ORF, 5 tips)",71.0,5,44.0,7,79.0,False,4,MBS1586553.1;MCC7514560.1;MFN5250388.1;WP_207226832.1,False,Bacteroidota bacterium (n=2); Cecembia calidifontis (n=1); Bacteroidia bacterium (n=1),DNA (cytosine-5-)-methyltransferase (n=4),,71.0,5,4,DNA (cytosine-5-)-methyltransferase (n=4),1,71,0.1416,False,False,0.0,0.013,False
DNMT3A,muscle_iqtree_DNMT3A_iqtree.nwk,FCH3CGLCCXYL4FAA_NODE_52_18,FCH3CGLCCXYL4FAA_NODE_52_18,"95 (smallest clade containing the ORF, 3 tips)",95.0,3,59.0,4,52.0,False,2,NDG53716.1;QCW20342.1,False,Flavobacterium phage FPSV-S1 (n=1); Flavobacteriia bacterium (n=1),site-specific DNA methylase (n=1); hypothetical protein (n=1),,95.0,3,2,site-specific DNA methylase (n=1); hypothetical protein (n=1),1,95,0.3038,False,False,0.5,0.667,True
